"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"795950","David","Amiel","Ile-de-France","Paris","13","Economiste","Non inscrit","NI"
"841495","Maxime","Amblard","Grand Est","Meuse","1","(38) - Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"840657","Sophie","Vaginay","Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence","2","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"795430","Stéphane","Delautrette","Nouvelle-Aquitaine","Haute-Vienne","2","Ingénieur dans le domaine de l'environnement","Non inscrit","NI"
"722252","Marie-Pierre","Rixain","Ile-de-France","Essonne","4","Consultante en communication","Non inscrit","NI"
"606507","Florent","Boudié","Nouvelle-Aquitaine","Gironde","10","Cadre supérieur du secteur public","Non inscrit","NI"
"793382","Emmanuel","Taché de la Pagerie","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","16","Cadre de la fonction publique","Non inscrit","NI"
"2960","Éric","Woerth","Hauts-de-France","Oise","4","Associé dans un cabinet d'audit international","Non inscrit","NI"
"841207","Charles","Alloncle","Occitanie","Hérault","9","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"841395","Maxime","Michelet","Grand Est","Marne","3","Historien","Non inscrit","NI"
"721836","Jean-Noël","Barrot","Ile-de-France","Yvelines","2","Professeur de faculté","Non inscrit","NI"
"793940","Thomas","Cazenave","Nouvelle-Aquitaine","Gironde","1","Cadre de la fonction publique","Non inscrit","NI"
"718674","Olga","Givernet","Auvergne-Rhône-Alpes","Ain","3","Ingénieure aéronautique","Non inscrit","NI"
"842125","Thomas","Lam","Ile-de-France","Hauts-de-Seine","2","(23) - Chef d'entreprise de 10 salariés ou plus","Non inscrit","NI"
"720560","Perrine","Goulet","Bourgogne-Franche-Comté","Nièvre","1","Autre cadre (secteur privé)","Non inscrit","NI"
"721270","Stéphane","Peu","Ile-de-France","Seine-Saint-Denis","2","Employé","Non inscrit","NI"
"719938","Marc","Fesneau","Centre-Val de Loire","Loir-et-Cher","1","Ministre","Non inscrit","NI"
"719578","Loïc","Prud'homme","Nouvelle-Aquitaine","Gironde","3","Fonctionnaire de catégorie B","Non inscrit","NI"
"841981","Catherine","Rimbert","Provence-Alpes-Côte d'Azur","Vaucluse","5","(31) - Profession libérale","Non inscrit","NI"
"841215","Marie","Mesmeur","Bretagne","Ille-et-Vilaine","1","Educatrice spécialisée","Non inscrit","NI"
"722134","Jean-Marie","Fiévet","Nouvelle-Aquitaine","Deux-Sèvres","3","Fonctionnaire de catégorie B","Non inscrit","NI"
"841167","Hugo","Prevost","Auvergne-Rhône-Alpes","Isère","1","(84) - Elève, étudiant","Non inscrit","NI"
"795156","Fatiha","Keloua Hachi","Ile-de-France","Seine-Saint-Denis","8","Professeur, profession scientifique","Non inscrit","NI"
"796018","Danielle","Simonnet","Ile-de-France","Paris","15","Professeur, profession scientifique","Non inscrit","NI"
"266797","Philippe","Gosselin","Normandie","Manche","1","Maître de conférences à Sciences Po","Non inscrit","NI"
"774958","Gérard","Leseul","Normandie","Seine-Maritime","5","Cadre d'entreprise / enseignant universitaire","Non inscrit","NI"
"793816","Mélanie","Thomin","Bretagne","Finistère","6","Professeur, profession scientifique","Non inscrit","NI"
