"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"842311","Vincent","Caure","Français établis hors de France","Français établis hors de France","3","(33) - Cadre de la fonction publique","Non inscrit","NI"
"793572","Christophe","Plassard","Nouvelle-Aquitaine","Charente-Maritime","5","Profession libérale","Non inscrit","NI"
"795762","Elie","Califer","Guadeloupe","Guadeloupe","4","Ancien cadre","Non inscrit","NI"
"793322","Christelle","D'Intorni","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","5","Avocate","Non inscrit","NI"
"793844","Pascale","Bordes","Occitanie","Gard","3","Profession libérale","Non inscrit","NI"
"720644","Jérôme","Nury","Normandie","Orne","3","Cadre de la fonction publique","Non inscrit","NI"
"793238","Christophe","Barthès","Occitanie","Aude","1","Agriculteur sur moyenne exploitation","Non inscrit","NI"
"267318","Jean-Carles","Grelier","Pays de la Loire","Sarthe","5","Avocat","Non inscrit","NI"
"720342","Nicole","Le Peih","Bretagne","Morbihan","3","Agricultrice","Non inscrit","NI"
"796034","Frank","Giletti","Provence-Alpes-Côte d'Azur","Var","6","Fonctionnaire","Non inscrit","NI"
"722190","Gabriel","Attal","Ile-de-France","Hauts-de-Seine","10","Consultant","Non inscrit","NI"
"841339","Jean-Michel","Brard","Pays de la Loire","Loire-Atlantique","9","(22) - Commerçant et assimilé","Non inscrit","NI"
"840955","Pierre","Pribetich","Bourgogne-Franche-Comté","Côte-d'Or","3","(34) - Professeur, profession scientifique","Non inscrit","NI"
"840119","Sandra","Delannoy","Hauts-de-France","Nord","3","(21) - Artisan","Non inscrit","NI"
"794762","Sandrine","Dogor-Such","Occitanie","Pyrénées-Orientales","3","Préparatrice en pharmacie","Non inscrit","NI"
"719118","François","Cormier-Bouligeon","Centre-Val de Loire","Cher","1","Juriste","Non inscrit","NI"
"793872","Nathalie","Oziol","Occitanie","Hérault","2","Professeur, profession scientifique","Non inscrit","NI"
"342240","Jean-Luc","Bourgeaux","Bretagne","Ille-et-Vilaine","7","Agriculteur","Non inscrit","NI"
"608416","Patrick","Hetzel","Grand Est","Bas-Rhin","7","Professeur des Universités","Non inscrit","NI"
"793362","José","Gonzalez","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","10","Ancien employé","Non inscrit","NI"
"842227","Joseph","Rivière","Réunion","Réunion","3","(45) - Profession intermédiaire administrative de la fonction publique","Non inscrit","NI"
"722102","Annie","Vidal","Normandie","Seine-Maritime","2","Retraitée de la fonction publique hospitalière","Non inscrit","NI"
"267763","Jean-Pierre","Bataille","Hauts-de-France","Nord","15","Pharmacien","Non inscrit","NI"
"721296","Guillaume","Gouffier Valente","Ile-de-France","Val-de-Marne","6","Manager public","Non inscrit","NI"
"841381","Sophie","Pantel","Occitanie","Lozère","1","(45) - Profession intermédiaire administrative de la fonction publique","Non inscrit","NI"
"841515","Aurélien","Le Coq","Hauts-de-France","Nord","1","(54) - Employé administratif d'entreprise","Non inscrit","NI"
"330240","Éric","Ciotti","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","1","(33) - Cadre de la fonction publique","Non inscrit","NI"
"840171","Emmanuel","Grégoire","Ile-de-France","Paris","7","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"842105","Raphaël","Arnault","Provence-Alpes-Côte d'Azur","Vaucluse","1","(52) - Employé civil et agent de service de la fonction publique","Non inscrit","NI"
"795050","Astrid","Panosyan-Bouvet","Ile-de-France","Paris","4","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"605991","Annie","Genevard","Bourgogne-Franche-Comté","Doubs","5","Professeur du secondaire","Non inscrit","NI"
"841431","Nathalie","Colin-Oesterlé","Grand Est","Moselle","3","(31) - Profession libérale","Non inscrit","NI"
"841645","Théo","Bernhardt","Grand Est","Bas-Rhin","8","(84) - Elève, étudiant","Non inscrit","NI"
"332523","Marie-Christine","Dalloz","Bourgogne-Franche-Comté","Jura","2","(86) - Personne diverse sans activité professionnelle de 60 ans et plus","Non inscrit","NI"
"842263","Ayda","Hadizadeh","Ile-de-France","Val-d'Oise","2","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"793146","Nicolas","Dragon","Hauts-de-France","Aisne","1","Profession libérale","Non inscrit","NI"
"721584","Jean","Terlier","Occitanie","Tarn","3","Avocat","Non inscrit","NI"
"794658","Philippe","Fait","Hauts-de-France","Pas-de-Calais","4","Professeur des écoles, instituteur et assimilé","Non inscrit","NI"
"793254","Julien","Rancoule","Occitanie","Aude","3","Profession libérale","Non inscrit","NI"
"720908","Naïma","Moutchou","Ile-de-France","Val-d'Oise","4","Avocat","Non inscrit","NI"
"717161","Élisabeth","Borne","Normandie","Calvados","6","Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"795990","Maud","Bregeon","Ile-de-France","Hauts-de-Seine","13","Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"720066","Stéphanie","Rist","Centre-Val de Loire","Loiret","1","Médecin","Non inscrit","NI"
"642847","Thibault","Bazin","Grand Est","Meurthe-et-Moselle","4","Autre cadre (secteur privé)","Non inscrit","NI"
"794178","Jean-Pierre","Taite","Auvergne-Rhône-Alpes","Loire","6","Ancien artisan, commerçant, chef d'entreprise","Non inscrit","NI"
"794094","Mickaël","Bouloux","Bretagne","Ille-et-Vilaine","8","Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"795588","Farida","Amrani","Ile-de-France","Essonne","1","Cadre de la fonction publique","Non inscrit","NI"
"841243","Sébastien","Saint-Pasteur","Nouvelle-Aquitaine","Gironde","7","(33) - Cadre de la fonction publique","Non inscrit","NI"
"840801","Emmanuel","Fouquart","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","13","Retraité militaire","Non inscrit","NI"
"721062","Jean-Hugues","Ratenon","Réunion","Réunion","5","Employé (secteur privé)","Non inscrit","NI"
"227089","Valérie","Létard","Hauts-de-France","Nord","21","Cadre de la fonction publique territoriale","Non inscrit","NI"
"841191","Sandrine","Nosbé","Auvergne-Rhône-Alpes","Isère","9","(54) - Employé administratif d'entreprise","Non inscrit","NI"
"794270","Anna","Pic","Normandie","Manche","4","Professeur, profession scientifique","Non inscrit","NI"
"841893","Céline","Thiébault-Martinez","Ile-de-France","Seine-et-Marne","9","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"841107","Jacques","Oberti","Occitanie","Haute-Garonne","10","(38) - Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"720446","Brigitte","Liso","Hauts-de-France","Nord","4","Commerçant","Non inscrit","NI"
"840701","Bernard","Chaix","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","3","(22) - Commerçant et assimilé","Non inscrit","NI"
"721932","Marie-France","Lorho","Provence-Alpes-Côte d'Azur","Vaucluse","4","Déléguée médicale","Non inscrit","NI"
"267285","Laurent","Wauquiez","Auvergne-Rhône-Alpes","Haute-Loire","1","(33) - Cadre de la fonction publique","Non inscrit","NI"
"841439","Pascal","Jenft","Grand Est","Moselle","5","(21) - Artisan","Non inscrit","NI"
"795864","Pierre","Cazeneuve","Ile-de-France","Hauts-de-Seine","7","Cadre de la fonction publique","Non inscrit","NI"
"722162","Nicolas","Turquois","Nouvelle-Aquitaine","Vienne","4","Agriculteur-propriétaire exploitant","Non inscrit","NI"
"719914","Geneviève","Darrieussecq","Nouvelle-Aquitaine","Landes","1","Médecin","Non inscrit","NI"
"605694","Olivier","Falorni","Nouvelle-Aquitaine","Charente-Maritime","1","Professeur du secondaire","Non inscrit","NI"
"795900","Marine","Hamelet","Occitanie","Tarn-et-Garonne","2","Profession intermédiaire administrative et commerciale des entreprises","Non inscrit","NI"
"841613","Marc","de Fleurian","Hauts-de-France","Pas-de-Calais","7","(33) - Cadre de la fonction publique","Non inscrit","NI"
"795722","Karl","Olive","Ile-de-France","Yvelines","12","Chef d'entreprise","Non inscrit","NI"
"793992","Henri","Alfandari","Centre-Val de Loire","Indre-et-Loire","3","Ancien artisan, commerçant, chef d'entreprise","Non inscrit","NI"
"720838","Soumya","Bourouaha","Ile-de-France","Seine-Saint-Denis","4","Professeure","Non inscrit","NI"
"721764","Olivia","Grégoire","Ile-de-France","Paris","12","Chef d'entreprise","Non inscrit","NI"
"841487","Anthony","Boulogne","Grand Est","Meurthe-et-Moselle","6","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"793102","Christian","Girard","Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence","1","Ancien cadre","Non inscrit","NI"
"840235","Moerani","Frébault","Polynésie française","Polynésie Française","1","(33) - Cadre de la fonction publique","Non inscrit","NI"
"719404","Didier","Le Gac","Bretagne","Finistère","3","Profession rattachée à l'enseignement","Non inscrit","NI"
"842013","Steevy","Gustave","Ile-de-France","Essonne","3","(35) - Profession de l'information, des arts et des spectacles","Non inscrit","NI"
"719640","Sophie","Mette","Nouvelle-Aquitaine","Gironde","9","Sans profession déclarée","Non inscrit","NI"
"794938","Idir","Boumertit","Auvergne-Rhône-Alpes","Rhône","14","Employé administratif d'entreprise","Non inscrit","NI"
"793912","Sylvain","Carrière","Occitanie","Hérault","8","Employé de commerce","Non inscrit","NI"
"721170","Stéphane","Vojetta","Français établis hors de France","Français établis hors de France","5","Entrepreneur","Non inscrit","NI"
"795528","Charles","Rodwell","Ile-de-France","Yvelines","1","Cadre de la fonction publique","Non inscrit","NI"
"793796","David","Taupiac","Occitanie","Gers","2","Consultant aéronautique","Non inscrit","NI"
"841067","Alexandre","Allegret-Pilot","Occitanie","Gard","5","(33) - Cadre de la fonction publique","Non inscrit","NI"
"721202","Éric","Coquerel","Ile-de-France","Seine-Saint-Denis","1","Industriel-Chef d'entreprise","Non inscrit","NI"
"719930","Boris","Vallaud","Nouvelle-Aquitaine","Landes","3","Fonctionnaire de catégorie A","Non inscrit","NI"
"266808","Vincent","Rolland","Auvergne-Rhône-Alpes","Savoie","2","Collaborateur parlementaire","Non inscrit","NI"
"793948","Nicolas","Thierry","Nouvelle-Aquitaine","Gironde","2","Consultant en développement durable","Non inscrit","NI"
"795966","Stéphane","Rambaud","Provence-Alpes-Côte d'Azur","Var","3","Retraité de la police nationale","Non inscrit","NI"
"795786","Yaël","Ménaché","Hauts-de-France","Somme","5","Commerciale","Non inscrit","NI"
"840967","René","Lioret","Bourgogne-Franche-Comté","Côte-d'Or","5","(74) - Ancien cadre","Non inscrit","NI"
"794530","Matthieu","Marchio","Hauts-de-France","Nord","16","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"335999","Delphine","Batho","Nouvelle-Aquitaine","Deux-Sèvres","2","Cadre territorial","Non inscrit","NI"
"719822","Sabine","Thillaye","Centre-Val de Loire","Indre-et-Loire","5","Ancien Chef d'entreprise","Non inscrit","NI"
"794778","Sandra","Regol","Grand Est","Bas-Rhin","1","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Non inscrit","NI"
"719052","Loïc","Kervran","Centre-Val de Loire","Cher","3","Autre cadre (secteur privé)","Non inscrit","NI"
"795958","Benjamin","Haddad","Ile-de-France","Paris","14","Professeur, profession scientifique","Non inscrit","NI"
"795200","Alma","Dufour","Normandie","Seine-Maritime","4","Responsable associative","Non inscrit","NI"
"719338","Graziella","Melchior","Bretagne","Finistère","5","Professeure agrégée","Non inscrit","NI"
"795912","Laure","Lavalette","Provence-Alpes-Côte d'Azur","Var","2","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Non inscrit","NI"
"722382","Benjamin","Dirx","Bourgogne-Franche-Comté","Saône-et-Loire","1","Industriel-Chef d'entreprise","Non inscrit","NI"
"795076","Sandrine","Rousseau","Ile-de-France","Paris","9","Professeur, profession scientifique","Non inscrit","NI"
"841717","Sandrine","Runel","Auvergne-Rhône-Alpes","Rhône","4","(33) - Cadre de la fonction publique","Non inscrit","NI"
"793656","Lisette","Pollet","Auvergne-Rhône-Alpes","Drôme","2","Ouvrier qualifié de type industriel","Non inscrit","NI"
"721182","Frédéric","Petit","Français établis hors de France","Français établis hors de France","7","Ingénieur","Non inscrit","NI"
"721844","Béatrice","Piron","Ile-de-France","Yvelines","3","Chef d'entreprise","Non inscrit","NI"
"643184","Brigitte","Klinkert","Grand Est","Haut-Rhin","1","Ancien cadre","Non inscrit","NI"
"842279","Anchya","Bamana","Mayotte","Mayotte","2","(33) - Cadre de la fonction publique","Non inscrit","NI"
"793158","José","Beaurain","Hauts-de-France","Aisne","4","Artisan","Non inscrit","NI"
"793736","Hadrien","Clouet","Occitanie","Haute-Garonne","1","Sociologue","Non inscrit","NI"
"793262","Laurent","Alexandre","Occitanie","Aveyron","2","Ouvrier qualifié de type industriel","Non inscrit","NI"
"720846","Bastien","Lachaud","Ile-de-France","Seine-Saint-Denis","6","Professeur du secondaire et technique","Non inscrit","NI"
"842195","Romain","Eskenazi","Ile-de-France","Val-d'Oise","7","(33) - Cadre de la fonction publique","Non inscrit","NI"
"795136","Jean-François","Coulomme","Auvergne-Rhône-Alpes","Savoie","4","Ingénieur commercial","Non inscrit","NI"
"1008","Alain","David","Nouvelle-Aquitaine","Gironde","4","Ingénieur","Non inscrit","NI"
"841359","Constance","de Pélichy","Centre-Val de Loire","Loiret","3","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Non inscrit","NI"
"719218","Hervé","Berville","Bretagne","Côtes-d'Armor","2","Economiste","Non inscrit","NI"
"720468","Sébastien","Chenu","Hauts-de-France","Nord","19","Conseiller en communication","Non inscrit","NI"
"841681","Thierry","Sother","Grand Est","Bas-Rhin","3","(33) - Cadre de la fonction publique","Non inscrit","NI"
"719272","Frédérique","Meunier","Nouvelle-Aquitaine","Corrèze","2","Avocate","Non inscrit","NI"
"794130","Andy","Kerbrat","Pays de la Loire","Loire-Atlantique","2","Chargé d'assistance automobile","Non inscrit","NI"
"793374","Romain","Baubry","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","15","Policier et militaire","Non inscrit","NI"
"796070","Perceval","Gaillard","Réunion","Réunion","7","Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"841825","Patrice","Martin","Normandie","Seine-Maritime","6","(11) - Agriculteur sur petite exploitation","Non inscrit","NI"
"719550","Liliana","Tanguy","Bretagne","Finistère","7","Cadre supérieur du secteur public","Non inscrit","NI"
"794570","Alexandre","Sabatou","Hauts-de-France","Oise","3","Chef de projets SI","Non inscrit","NI"
"718838","Fabrice","Brun","Auvergne-Rhône-Alpes","Ardèche","3","Industriel-Chef d'entreprise","Non inscrit","NI"
"841761","Aurélien","Dutremble","Bourgogne-Franche-Comté","Saône-et-Loire","3","(47) - Technicien hospitalier","Non inscrit","NI"
"817203","Laure","Miller","Grand Est","Marne","2","Avocate","Non inscrit","NI"
"793122","Romain","Daubié","Auvergne-Rhône-Alpes","Ain","2","Avocat","Non inscrit","NI"
"796090","Aymeric","Caron","Ile-de-France","Paris","18","Profession de l'information, des arts et des spectacles","Non inscrit","NI"
"1630","Michel","Herbillon","Ile-de-France","Val-de-Marne","8","Cadre supérieur","Non inscrit","NI"
"841315","Karim","Benbrahim","Pays de la Loire","Loire-Atlantique","1","(38) - Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"794906","Gabriel","Amard","Auvergne-Rhône-Alpes","Rhône","6","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"840915","Thibaut","Monnier","Auvergne-Rhône-Alpes","Drôme","4","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"720552","Isabelle","Rauch","Grand Est","Moselle","9","Consultante","Non inscrit","NI"
"795454","Karim","Ben Cheikh","Français établis hors de France","Français établis hors de France","9","Cadre de la fonction publique","Non inscrit","NI"
"794582","Kévin","Pfeffer","Grand Est","Moselle","6","Permanent politique","Non inscrit","NI"
"794838","Didier","Lemaire","Grand Est","Haut-Rhin","3","Employé civil et agent de service de la fonction publique","Non inscrit","NI"
"795240","Mereana","Reid Arbelot","Polynésie française","Polynésie Française","3","Ingénieur en chef du contrôle de la navigation aérienne","Non inscrit","NI"
"822617","Martine","Froger","Occitanie","Ariège","1","Chef d'entreprise","Non inscrit","NI"
"794670","Caroline","Parmentier","Hauts-de-France","Pas-de-Calais","9","Attachée de Presse","Non inscrit","NI"
"840757","Monique","Griseti","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","1","(22) - Commerçant et assimilé","Non inscrit","NI"
"795820","Marcellin","Nadeau","Martinique","Martinique","2","Cadre de la fonction publique","Non inscrit","NI"
"794470","Félicie","Gérard","Hauts-de-France","Nord","7","Contremaître, agent de maîtrise","Non inscrit","NI"
"721210","Alexis","Corbière","Ile-de-France","Seine-Saint-Denis","7","Professeur de lycée professionnel","Non inscrit","NI"
"794330","Anthony","Brosse","Centre-Val de Loire","Loiret","5","Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"793532","Murielle","Lepvraud","Bretagne","Côtes-d'Armor","4","Employé administratif d'entreprise","Non inscrit","NI"
"720162","Philippe","Bolo","Pays de la Loire","Maine-et-Loire","7","Ingénieur","Non inscrit","NI"
"840665","Marie-José","Allemand","Provence-Alpes-Côte d'Azur","Hautes-Alpes","1","(12) - Agriculteur sur moyenne exploitation","Non inscrit","NI"
"795482","Manon","Meunier","Nouvelle-Aquitaine","Haute-Vienne","3","Cadre de la fonction publique","Non inscrit","NI"
"267306","André","Chassaigne","Auvergne-Rhône-Alpes","Puy-de-Dôme","5","Retraité de l'éducation nationale","Non inscrit","NI"
"795664","Paul","Midy","Ile-de-France","Essonne","5","Chef d'entreprise de 10 salariés ou plus","Non inscrit","NI"
"841251","Mathilde","Feld","Nouvelle-Aquitaine","Gironde","12","(33) - Cadre de la fonction publique","Non inscrit","NI"
"840817","Joël","Bruneau","Normandie","Calvados","1","(31) - Profession libérale","Non inscrit","NI"
"795672","Arnaud","Le Gall","Ile-de-France","Val-d'Oise","9","Cadre de la fonction publique","Non inscrit","NI"
"841575","Frédéric-Pierre","Vos","Hauts-de-France","Oise","5","avocat","Non inscrit","NI"
"718850","Pierre","Cordier","Grand Est","Ardennes","2","Fonctionnaire de catégorie A","Non inscrit","NI"
"720230","Lise","Magnier","Grand Est","Marne","4","Cadre territorial","Non inscrit","NI"
"606545","Jean-Louis","Roumégas","Occitanie","Hérault","1","Enseignant 1er deg.- Professeur d'école","Non inscrit","NI"
"793134","Jérôme","Buisson","Auvergne-Rhône-Alpes","Ain","4","Professeur d'italien","Non inscrit","NI"
"795808","Sabrina","Sebaihi","Ile-de-France","Hauts-de-Seine","4","Profession libérale","Non inscrit","NI"
"794146","Julie","Laernoes","Pays de la Loire","Loire-Atlantique","4","Ancien cadre","Non inscrit","NI"
"841737","Jonathan","Gery","Auvergne-Rhône-Alpes","Rhône","8","(53) - Policier et militaire","Non inscrit","NI"
"841451","Julien","Guibert","Bourgogne-Franche-Comté","Nièvre","2","(46) - Profession intermédiaire administrative et commerciale des entreprises","Non inscrit","NI"
"794198","Roger","Chudeau","Centre-Val de Loire","Loir-et-Cher","2","Inspecteur général de l'éducation nationale honoraire","Non inscrit","NI"
"842299","Emmanuel","Tjibaou","Nouvelle-Calédonie","Nouvelle-Calédonie","2","(33) - Cadre de la fonction publique","Non inscrit","NI"
"793444","Manuel","Bompard","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","4","Ingénieur","Non inscrit","NI"
"721984","Philippe","Latombe","Pays de la Loire","Vendée","1","Cadre supérieur (secteur privé)","Non inscrit","NI"
"841223","Tristan","Lahais","Bretagne","Ille-et-Vilaine","2","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"841633","Peio","Dufau","Nouvelle-Aquitaine","Pyrénées-Atlantiques","6","(48) - Contremaître, agent de maîtrise","Non inscrit","NI"
"793290","Gisèle","Lelouis","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","3","Ancien employé","Non inscrit","NI"
"794486","Violette","Spillebout","Hauts-de-France","Nord","9","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"794008","Cyrielle","Chatelain","Auvergne-Rhône-Alpes","Isère","2","Collaboratrice de cabinet","Non inscrit","NI"
"795298","Jérôme","Legavre","Ile-de-France","Seine-Saint-Denis","12","Professeur de lettres","Non inscrit","NI"
"720100","Aurélien","Pradié","Occitanie","Lot","1","Cadre supérieur (secteur privé)","Non inscrit","NI"
"796042","Frédéric","Boccaletti","Provence-Alpes-Côte d'Azur","Var","7","(85) - Personne diverse sans activité professionnelle de moins de 60 ans","Non inscrit","NI"
"720190","Bertrand","Sorre","Normandie","Manche","2","Enseignant 1er degré-directeur d'école (en disponibilité)","Non inscrit","NI"
"718784","Éric","Pauget","Provence-Alpes-Côte d'Azur","Alpes-Maritimes","7","Autre cadre (secteur privé)","Non inscrit","NI"
"842073","Gaëtan","Dussausaye","Grand Est","Vosges","2","(55) - Employé de commerce","Non inscrit","NI"
"607619","Paul","Molac","Bretagne","Morbihan","4","Professeur du secondaire","Non inscrit","NI"
"795552","Julien","Odoul","Bourgogne-Franche-Comté","Yonne","3","Collaborateur parlementaire","Non inscrit","NI"
"842029","Claire","Lejeune","Ile-de-France","Essonne","7","34 - Professeur, profession scientifique","Non inscrit","NI"
"774954","Anne-Laure","Blin","Pays de la Loire","Maine-et-Loire","3","Juriste","Non inscrit","NI"
"841947","Zahia","Hamdane","Hauts-de-France","Somme","2","(43) - Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"794434","Christophe","Bentz","Grand Est","Haute-Marne","1","Professeur, profession scientifique","Non inscrit","NI"
"721908","Yaël","Braun-Pivet","Ile-de-France","Yvelines","5","Avocate","Non inscrit","NI"
"841131","Manon","Bouquin","Occitanie","Hérault","4","(33) - Cadre de la fonction publique","Non inscrit","NI"
"712015","Julien","Dive","Hauts-de-France","Aisne","2","Chef de projet dans l'industrie","Non inscrit","NI"
"345722","Constance","Le Grip","Ile-de-France","Hauts-de-Seine","6","Conseillère parlementaire","Non inscrit","NI"
"720256","Géraldine","Bannier","Pays de la Loire","Mayenne","2","Professeur du secondaire et technique","Non inscrit","NI"
"719512","Corinne","Vignon","Occitanie","Haute-Garonne","3","Cadre supérieur (secteur privé)","Non inscrit","NI"
"795228","Nadège","Abomangoli","Ile-de-France","Seine-Saint-Denis","10","Contrôleure interne et risk manager","Non inscrit","NI"
"841295","Pierrick","Courbon","Auvergne-Rhône-Alpes","Loire","1","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"795144","Antoine","Armand","Auvergne-Rhône-Alpes","Haute-Savoie","2","Cadre de la fonction publique","Non inscrit","NI"
"793632","Timothée","Houssin","Normandie","Eure","5","Cadre","Non inscrit","NI"
"722000","Stéphane","Buchou","Pays de la Loire","Vendée","3","Cadre supérieur (secteur privé)","Non inscrit","NI"
"794082","Mathilde","Hignet","Bretagne","Ille-et-Vilaine","4","Ouvrière agricole","Non inscrit","NI"
"794562","Philippe","Ballard","Hauts-de-France","Oise","2","Ancien journaliste","Non inscrit","NI"
"342415","Marie-Noëlle","Battistel","Auvergne-Rhône-Alpes","Isère","4","Autre cadre (secteur privé)","Non inscrit","NI"
"793696","Serge","Muller","Nouvelle-Aquitaine","Dordogne","2","Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"841873","Julien","Limongi","Ile-de-France","Seine-et-Marne","4","(74) - Ancien cadre","Non inscrit","NI"
"719528","Jean-François","Portarrieu","Occitanie","Haute-Garonne","5","Journaliste","Non inscrit","NI"
"794686","Marianne","Maximi","Auvergne-Rhône-Alpes","Puy-de-Dôme","1","Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"335612","Jean-Paul","Lecoq","Normandie","Seine-Maritime","8","Électricien","Non inscrit","NI"
"605782","Laurent","Marcangeli","Corse","Corse-du-Sud","1","Avocat","Non inscrit","NI"
"642988","Hervé","de Lépinau","Provence-Alpes-Côte d'Azur","Vaucluse","3","Avocat","Non inscrit","NI"
"842045","Julie","Ozenne","Ile-de-France","Essonne","9","(38) - Ingénieur et cadre technique d'entreprise","Non inscrit","NI"
"841777","Arnaud","Sanvert","Bourgogne-Franche-Comté","Saône-et-Loire","5","(56) - Personnel des services directs aux particuliers","Non inscrit","NI"
"721960","Danièle","Obono","Ile-de-France","Paris","17","Bibliothécaire","Non inscrit","NI"
"793608","Katiana","Levavasseur","Normandie","Eure","2","Ouvrier de type industriel","Non inscrit","NI"
"721024","Anne","Genetet","Français établis hors de France","Français établis hors de France","11","Médecin","Non inscrit","NI"
"794442","Laurence","Robert-Dehault","Grand Est","Haute-Marne","2","Profession libérale","Non inscrit","NI"
"826635","Aurélien","Rousseau","Ile-de-France","Yvelines","7","Maître des requêtes au Conseil d'État","Non inscrit","NI"
"841139","Julien","Gabarron","Occitanie","Hérault","6","Cadre Commercial","Non inscrit","NI"
"642935","Olivier","Becht","Grand Est","Haut-Rhin","5","Magistrat","Non inscrit","NI"
"795270","Marie-Agnès","Poussier-Winsback","Normandie","Seine-Maritime","9","Enseignante","Non inscrit","NI"
"795310","Clémence","Guetté","Ile-de-France","Val-de-Marne","2","Responsable du programme LFI","Non inscrit","NI"
"610654","Jean-Philippe","Nilor","Martinique","Martinique","4","Collaborateur parlementaire","Non inscrit","NI"
"608826","Virginie","Duby-Muller","Auvergne-Rhône-Alpes","Haute-Savoie","4","Cadre du secteur privé","Non inscrit","NI"
"606098","Olivier","Marleix","Centre-Val de Loire","Eure-et-Loir","2","Fonctionnaire de catégorie A","Non inscrit","NI"
"840983","Bartolomé","Lenoir","Nouvelle-Aquitaine","Creuse","1","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"840159","Bruno","Clavet","Hauts-de-France","Pas-de-Calais","3","(45) - Profession intermédiaire administrative de la fonction publique","Non inscrit","NI"
"794030","Alexis","Jolly","Auvergne-Rhône-Alpes","Isère","6","Commerçant et assimilé","Non inscrit","NI"
"720728","Jean-Paul","Mattei","Nouvelle-Aquitaine","Pyrénées-Atlantiques","2","Notaire","Non inscrit","NI"
"793708","Sébastien","Peytavie","Nouvelle-Aquitaine","Dordogne","4","Profession intermédiaire de la santé et du travail social","Non inscrit","NI"
"795410","Béatrice","Roullaud","Ile-de-France","Seine-et-Marne","6","Profession libérale","Non inscrit","NI"
"793398","Jérémie","Patrier-Leitus","Normandie","Calvados","3","Cadre de la fonction publique","Non inscrit","NI"
"720960","Olivier","Serva","Guadeloupe","Guadeloupe","1","Expert comptable","Non inscrit","NI"
"719138","Michel","Castellani","Corse","Haute-Corse","1","Professeur des Universités","Non inscrit","NI"
"841587","David","Magnier","Hauts-de-France","Oise","7","(48) - Contremaître, agent de maîtrise","Non inscrit","NI"
"793210","Laurent","Panifous","Occitanie","Ariège","2","Directeur d'établissements sanitaires et sociaux","Non inscrit","NI"
"720892","Mathilde","Panot","Ile-de-France","Val-de-Marne","10","Coordinatrice de projets associatifs","Non inscrit","NI"
"335054","Marietta","Karamanli","Pays de la Loire","Sarthe","2","Professeur dans l'enseignement supérieur","Non inscrit","NI"
"817211","René","Pilato","Nouvelle-Aquitaine","Charente","1","Enseignant","Non inscrit","NI"
"791812","Sophia","Chikirou","Ile-de-France","Paris","6","Chef d'entreprise de 10 salariés ou plus","Non inscrit","NI"
"794154","Jean-Claude","Raux","Pays de la Loire","Loire-Atlantique","6","Professeur, profession scientifique","Non inscrit","NI"
"722358","Thomas","Gassilloud","Auvergne-Rhône-Alpes","Rhône","10","Industriel-Chef d'entreprise","Non inscrit","NI"
"793624","Philippe","Brun","Normandie","Eure","4","Magistrat administratif","Non inscrit","NI"
"794678","Thierry","Frappé","Hauts-de-France","Pas-de-Calais","10","Profession libérale","Non inscrit","NI"
"841657","Anaïs","Belouassa-Cherifi","Auvergne-Rhône-Alpes","Rhône","1","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
